applicant_id,income,loan_amount,term,credit_history,default
1a7b9fae-e0da-4e16-976a-b5e8b28646ff,14662,657144,30,1,0
7d8ce617-2895-4d5e-b155-7a26a2ae37f7,17636,226200,54,1,1
79ef5c77-ca8b-4170-bdf4-1047bc9e08e3,17847,323619,24,0,0
f456cdf0-15fa-4c2b-bcb4-d28f415a2322,20556,619547,42,1,1
7bfa003a-6716-4a2b-9e65-d3aa21841639,17510,332159,60,1,1
bc35ace5-d30a-4239-a40a-b916ae2cd17a,30690,649243,24,1,0
790e5176-5b88-48ea-925b-5f29b1cb9090,21330,607355,54,1,1
3e97c1e1-4e15-4092-b752-b008ae699cb6,25865,939735,42,0,1
70abf6c5-cea0-4459-91f4-795b3c96b752,25980,793383,36,0,0
943f60b4-9ced-4ab0-be02-41f1d8e1c22f,9026,465072,12,0,0
d8f196e0-da27-4f85-938f-e4912dbf55fe,32096,705550,60,1,1
99ad76c3-d729-4d0a-b892-18eac1dc56a3,28981,910641,18,0,1
e49545d9-5e59-4a2f-9b8d-066ace6c34d3,25054,428309,24,0,0
77c43298-c7a8-47af-bade-c6e7850f2405,22411,567393,12,0,1
e866b0b8-bd2c-4a62-bbe0-08a02dddb047,14266,311510,48,1,1
b289c62f-3c1a-4917-b2b4-c3d60525e399,38292,827593,48,1,1
9a04c81b-e306-4b33-9be5-f850400203e6,26778,747748,60,0,1
87c1979b-9468-40c3-9929-6e6b171047f1,21074,988711,24,1,0
0572c00e-f2ba-4107-836e-df2cd9258182,30077,586731,36,0,1
887d05d1-2494-42a4-841c-f1559f4b1724,26524,532868,18,1,0
0962e249-ad12-43ff-8e12-912de0c1b4e1,19624,200412,42,0,1
436e3512-d3a8-441e-91e0-7f2d39bd60a1,31137,516738,18,1,1
9e377d36-facb-4120-8bfe-12da22688b1e,17308,736734,18,1,0
a986cfcc-250a-4f9a-98b5-78b1cb368c47,26056,674648,30,1,1
4f00f312-806a-43da-9a9f-e2a5196b810a,9975,239469,60,0,1
6112326f-371b-48b0-80d6-5aeea8ca9a8a,18007,230401,30,1,0
cca9750d-155e-4557-8577-d3681c72d080,0,992107,60,1,0
b40757e9-5c3a-4902-9ceb-4c4ecd37211e,19785,914159,18,0,0
1b15d1a4-4897-4281-87c6-690cd39d4c3f,11955,449710,30,1,0
c35e966b-e1c5-4f26-9130-322c43f370ef,19532,171278,54,1,1
a7a533fe-2770-4b75-9eb2-82835ec19f5d,23866,856404,54,1,0
482e1701-5614-426f-b890-ef901a5fab47,38929,390244,60,1,1
8b27dab4-f4e0-4976-9052-b6a9a89fd0b1,25206,293147,36,1,0
0a6759c7-8744-4442-9fa4-b3625b7d7a34,15811,413926,54,0,1
0cbc29f9-6111-4880-b52c-7c1ed8325c01,21191,628581,6,0,1
7e1b530f-6bbb-4846-bf2b-51963407ec1b,20767,796943,6,0,1
d07ee64a-8799-48ae-94f3-f60017953d15,26794,305396,30,0,1
93de0885-cb86-43d2-8dc4-57a989cdeb81,27002,533396,42,0,1
eb422a1c-e629-4b43-850d-2974911bfde2,30347,636930,60,0,1
c0a423e2-e300-4b2f-b394-97510397afb3,28293,398666,54,1,1
24ede08b-0cfb-4ab9-97b1-3908589af5f5,12321,888485,36,1,0
3459b894-1df2-498b-a80c-5efdf63bdef4,30945,672518,60,0,0
e5952a82-f0f5-441b-9c34-638694e9f49c,33679,410448,6,0,1
909857f9-3728-49c1-b436-34ac020170b7,11184,365753,48,0,1
44cb4c26-712e-4524-a590-78101a88d837,28729,440332,36,1,1
047b5873-5aa7-4c34-a07c-81cda2bbf6d7,21625,116728,6,0,1
af3b7430-b726-41bd-a724-70217be51920,23356,629258,6,0,1
c58c928b-bd37-46d3-a0d8-b0e144f68b57,23309,663242,12,1,1
77a5dd02-9694-4313-ab1e-cc86b947c520,23615,467314,48,1,1
6bd7e1d5-a664-4559-bbb5-e2a7a3ed572a,19632,672658,60,1,1
3a9b4257-e49a-4d19-a656-3ba61fde3f46,16121,623614,6,1,0
be5667fb-c382-41db-b28b-198765696d4a,31316,407580,12,0,0
34533935-01b2-42b7-b48f-06ef4d0e8516,18156,209228,60,1,0
